pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
CRIVA,intrare_auto,1,HistGradientBoosting,3.839872409564352,5.138337343981917,26304,20908.0,5227.0
CRIVA,intrare_auto,1,RandomForest,3.988604076893177,5.330929419113737,26304,20908.0,5227.0
CRIVA,intrare_auto,3,Baseline_yesterday,5.423592085235921,7.543662857993357,26304,,
CRIVA,intrare_auto,3,HistGradientBoosting,3.858234999780031,5.172311819767756,26304,20906.0,5227.0
CRIVA,intrare_auto,3,RandomForest,3.998917940956753,5.349347957665455,26304,20906.0,5227.0
CRIVA,intrare_auto,24,Baseline_yesterday,5.423592085235921,7.543662857993357,26304,,
CRIVA,intrare_auto,24,HistGradientBoosting,3.847143696286957,5.138581981974166,26304,20889.0,5223.0
CRIVA,intrare_auto,24,RandomForest,3.9513439138243847,5.287001943779599,26304,20889.0,5223.0
GIURGIULESTI,iesire_auto,1,Baseline_yesterday,10.884589041095891,14.086646147880126,26304,,
GIURGIULESTI,iesire_auto,1,HistGradientBoosting,7.613178891707589,9.892164698000462,26304,20908.0,5227.0
GIURGIULESTI,iesire_auto,1,RandomForest,7.912960110962311,10.250246386855654,26304,20908.0,5227.0
GIURGIULESTI,iesire_auto,3,Baseline_yesterday,10.884589041095891,14.086646147880126,26304,,
GIURGIULESTI,iesire_auto,3,HistGradientBoosting,7.898154530659621,10.206999644230583,26304,20906.0,5227.0
GIURGIULESTI,iesire_auto,3,RandomForest,8.14815477329252,10.549347775462719,26304,20906.0,5227.0
GIURGIULESTI,iesire_auto,24,Baseline_yesterday,10.884589041095891,14.086646147880126,26304,,
GIURGIULESTI,iesire_auto,24,HistGradientBoosting,7.654664288378939,9.98601110678892,26304,20889.0,5223.0
GIURGIULESTI,iesire_auto,24,RandomForest,7.953541068351522,10.35153859344954,26304,20889.0,5223.0
GIURGIULESTI,intrare_auto,1,Baseline_yesterday,10.213660578386605,13.6033098197369,26304,,
GIURGIULESTI,intrare_auto,1,HistGradientBoosting,7.288280088888984,9.510378712702144,26304,20908.0,5227.0
GIURGIULESTI,intrare_auto,1,RandomForest,7.50766309546585,9.766858930955038,26304,20908.0,5227.0
GIURGIULESTI,intrare_auto,3,Baseline_yesterday,10.213660578386605,13.6033098197369,26304,,
GIURGIULESTI,intrare_auto,3,HistGradientBoosting,7.401747832684021,9.67481665009928,26304,20906.0,5227.0
GIURGIULESTI,intrare_auto,3,RandomForest,7.7656523818634025,10.090039931336031,26304,20906.0,5227.0
GIURGIULESTI,intrare_auto,24,Baseline_yesterday,10.213660578386605,13.6033098197369,26304,,
GIURGIULESTI,intrare_auto,24,HistGradientBoosting,7.401249332590109,9.718841881937868,26304,20889.0,5223.0
GIURGIULESTI,intrare_auto,24,RandomForest,7.642034271491481,10.02187495964591,26304,20889.0,5223.0
GRIMANCAUTI,iesire_auto,1,Baseline_yesterday,0.5426940639269406,1.0816724183874489,26304,,
GRIMANCAUTI,iesire_auto,1,HistGradientBoosting,0.4564123574881322,0.7194672843803173,26304,20908.0,5227.0
GRIMANCAUTI,iesire_auto,1,RandomForest,0.48248952357194896,0.7857187079287085,26304,20908.0,5227.0
GRIMANCAUTI,iesire_auto,3,Baseline_yesterday,0.5426940639269406,1.0816724183874489,26304,,
GRIMANCAUTI,iesire_auto,3,HistGradientBoosting,0.459025865459055,0.720256602423654,26304,20906.0,5227.0
GRIMANCAUTI,iesire_auto,3,RandomForest,0.48588118673329356,0.7966476450766654,26304,20906.0,5227.0
GRIMANCAUTI,iesire_auto,24,Baseline_yesterday,0.5426940639269406,1.0816724183874489,26304,,
GRIMANCAUTI,iesire_auto,24,HistGradientBoosting,0.4567290868309473,0.7170807369372578,26304,20889.0,5223.0
GRIMANCAUTI,iesire_auto,24,RandomForest,0.48439885687863987,0.7973836527948115,26304,20889.0,5223.0
GRIMANCAUTI,intrare_auto,1,Baseline_yesterday,0.4567732115677321,0.9113690840191674,26304,,
GRIMANCAUTI,intrare_auto,1,HistGradientBoosting,0.40269802993115345,0.6268958551029804,26304,20908.0,5227.0
GRIMANCAUTI,intrare_auto,1,RandomForest,0.4258377768911956,0.6939883076045706,26304,20908.0,5227.0
GRIMANCAUTI,intrare_auto,3,Baseline_yesterday,0.4567732115677321,0.9113690840191674,26304,,
GRIMANCAUTI,intrare_auto,3,HistGradientBoosting,0.4028559870496415,0.6235942234648636,26304,20906.0,5227.0
GRIMANCAUTI,intrare_auto,3,RandomForest,0.42427733899542164,0.6955723977622416,26304,20906.0,5227.0
GRIMANCAUTI,intrare_auto,24,Baseline_yesterday,0.4567732115677321,0.9113690840191674,26304,,
GRIMANCAUTI,intrare_auto,24,HistGradientBoosting,0.4030902718617015,0.6222649869617144,26304,20889.0,5223.0
GRIMANCAUTI,intrare_auto,24,RandomForest,0.4199150691160012,0.6837598424231556,26304,20889.0,5223.0
LARGA,iesire_auto,1,Baseline_yesterday,1.4295281582952817,2.8857625631323613,26304,,
LARGA,iesire_auto,1,HistGradientBoosting,1.0660575179067004,1.7146342755352522,26304,20908.0,5227.0
LARGA,iesire_auto,1,RandomForest,1.1066926850033623,1.8287217545702161,26304,20908.0,5227.0
LARGA,iesire_auto,3,Baseline_yesterday,1.4295281582952817,2.8857625631323613,26304,,
LARGA,iesire_auto,3,HistGradientBoosting,1.0686784013641253,1.724511683458889,26304,20906.0,5227.0
